customer_id,customer_name,centre_id,centre_name,booking_date,arrival_time,hour_of_day,day_of_week,peak_hour,token_number,tokens_ahead,queue_length,active_counters,crop,quantity_kg,quality_grade,staff_experience_years,estimated_time_min,actual_wait_time_min,processing_time_min,service_start_time,service_end_time,total_time_at_centre_min
FARM101861,Farmer_1861,PC004,Tumakuru Main,2026-01-03,14:04:00,14,5,0,5,2,4,2,Groundnut,451.1,A,7,12.1,13.1,13.7,14:17:06,14:30:48,26.8
FARM100354,Farmer_0354,PC003,Hassan Market,2026-02-10,10:17:00,10,1,1,36,33,34,3,Maize,311.2,C,10,137.1,130.2,12.5,12:27:12,12:39:42,142.7
FARM101334,Farmer_1334,PC002,Mandya North,2026-03-01,16:57:00,16,6,0,32,28,32,3,Maize,406.8,A,8,131.8,121.5,12.1,18:58:30,19:10:36,133.6
FARM100906,Farmer_0906,PC004,Tumakuru Main,2026-02-02,11:53:00,11,0,1,8,3,8,3,Ragi,309.3,C,2,23.4,24.6,13.6,12:17:36,12:31:12,38.2
FARM101290,Farmer_1290,PC002,Mandya North,2026-01-01,14:24:00,14,3,0,25,21,28,2,Groundnut,433.0,B,5,163.0,180.0,15.7,17:24:00,17:39:42,195.7
FARM101274,Farmer_1274,PC003,Hassan Market,2026-03-09,15:25:00,15,0,0,31,28,35,3,Cotton,242.8,A,6,101.9,94.4,11.2,16:59:24,17:10:36,105.6
FARM100939,Farmer_0939,PC002,Mandya North,2026-02-02,10:37:00,10,0,1,6,4,9,2,Groundnut,433.8,C,6,39.2,43.2,16.0,11:20:12,11:36:12,59.2
FARM101732,Farmer_1732,PC001,Mysuru Central,2026-04-11,13:43:00,13,5,1,40,38,44,4,Wheat,322.2,C,7,98.3,108.3,10.8,15:31:18,15:42:06,119.1
FARM100066,Farmer_0066,PC003,Hassan Market,2026-02-10,10:44:00,10,1,1,16,15,22,4,Tur Dal,154.6,B,5,37.6,41.7,11.4,11:25:42,11:37:06,53.1
FARM101324,Farmer_1324,PC004,Tumakuru Main,2026-02-07,08:58:00,8,5,0,45,42,43,4,Maize,240.7,C,2,164.1,162.0,14.7,11:40:00,11:54:42,176.7
FARM100057,Farmer_0057,PC002,Mandya North,2026-03-23,12:01:00,12,0,1,36,34,39,2,Sugarcane,429.9,C,3,176.3,180.0,16.2,15:01:00,15:17:12,196.2
